,duration,vehicle_in,vehicle_out
0,1123.5981362842167,3434,1998
1,1063.9929309407287,3678,2387
2,1061.0082644628098,3872,2479
3,947.0896226415094,4240,2936
4,902.7694095769409,4302,2897
5,934.8853874883287,4284,2941
6,714.4921444603142,4901,3678
7,507.78820184790334,5628,4677
8,473.13489958317547,5278,4486
9,444.3263022743947,5452,4689
10,421.99719416386085,5346,4668
11,396.2022346368715,5370,4704
12,397.57826576576576,5328,4612
13,392.25556813892035,5298,4525
14,361.8933936651584,5525,4763
15,361.0090206185567,5432,4677
16,358.4870166261909,5353,4662
17,338.3740095087163,5679,5048
18,341.22222222222223,5814,5171
19,349.1447414702779,5686,5093
20,370.33542151422944,5587,5000
21,334.15405872193435,5790,5119
22,326.5448239986128,5767,5142
23,325.69718431508034,5789,5153
24,322.04330294530155,5704,5067
25,316.72408293460927,5643,5029
26,314.89558020778304,5679,5117
27,321.2893338058115,5644,5034
28,313.63159722222224,5760,5129
29,320.15780356833534,5773,5095
30,320.7434164934165,5772,5090
31,314.66616364855804,5964,5288
32,313.6148321362953,5987,5297
33,317.28307845744683,6016,5332
34,314.9404761904762,5964,5329
35,308.964316057774,5885,5299
36,306.7376736111111,5760,5193
37,305.4254201680672,5712,5151
38,309.37582954942366,5726,5131
39,311.4550264550264,5859,5248
40,314.5496248294679,5864,5242
41,322.19652682255844,5816,5157
42,334.17235494880543,5860,5176
43,328.33663535439797,5855,5144
44,314.605152382556,5939,5253
45,312.96440735694824,5872,5205
46,318.06786796901315,5938,5202
47,312.82460910944934,5884,5201
48,302.99605488850773,5830,5255
49,304.75128117526475,5854,5295
50,310.86181452289117,5963,5374
51,309.1530315969257,5855,5232
52,308.6564344746163,5929,5352
53,315.45792936288086,5776,5079
54,330.438265127667,5718,4934
55,324.4055462184874,5950,5215
56,314.596097894917,5843,5110
57,303.31239242685024,5810,5203
58,300.8843760801936,5786,5190
59,303.04144987859866,5766,5172
60,300.69909972299166,5776,5186
61,306.4866217849128,5793,5147
62,304.1587657300465,5801,5131
63,308.9860248447205,5796,5083
64,305.5012779008349,5869,5177
65,304.79503424657537,5840,5180
66,302.20017108639865,5845,5231
67,306.4447806354009,5949,5321
68,305.5843957164712,5883,5257
69,301.65841584158414,5858,5266
70,301.67318815923784,5878,5257
71,300.5060652656757,5853,5263
72,304.03223070398644,5895,5272
73,299.4425808659935,5843,5275
74,304.79969599729776,5921,5267
75,313.9524311040899,5697,5038
76,301.40593391773433,5932,5336
77,303.7636765205573,5886,5316
78,313.196452476573,5976,5358
79,306.125567322239,5949,5361
