,duration,vehicle_in,vehicle_out
0,2081.7804490012372,5657,2810
1,1941.0022532672374,6657,4396
2,1686.3946043629792,7747,5629
3,1589.494374920996,7911,6228
4,1470.7063318777293,8244,6737
5,1444.0166371681416,8475,7050
6,1312.2850358917724,9055,7713
7,1489.4261944378418,8414,6745
8,1355.2683180923718,8639,7249
9,1315.9817586529466,8552,7268
10,1338.5370458891014,8368,7075
11,1294.2056695528406,8431,7173
12,1203.5776878199786,8399,7297
13,1252.3076557299096,8412,7137
14,1137.898275047259,8464,7354
15,1320.5634778454557,8373,6947
16,1184.6869712351945,8865,7628
17,1142.1472606592417,8889,7760
18,1167.9719552188171,8843,7627
19,1142.9061521252797,8940,7781
20,1036.0755411255411,9240,8143
21,1007.444976076555,8987,8136
22,937.1793384879725,9312,8501
23,993.6293803418804,9360,8408
24,1012.5232508073198,9290,8397
25,970.6364123446207,9332,8454
26,976.270727393323,9046,8187
27,994.3331134564644,9096,8279
28,1015.9113203415809,9134,8277
29,1008.6108066637439,9124,8281
30,1004.8423978201635,9175,8325
31,1016.9763668046178,9182,8301
32,1037.2146631439894,9084,8156
33,1003.8917135439203,9244,8372
34,996.8884619489806,9369,8467
35,1030.6904121381685,9293,8337
36,1004.231839092757,9347,8539
37,993.4753834602595,9323,8544
38,1024.4698914116486,9117,8274
39,968.9900937366851,9388,8490
40,1025.7045823854403,9231,8295
41,943.0037421148295,9353,8547
42,935.9685817862244,9103,8192
43,969.7846382346701,9426,8546
44,1008.4678859601936,9295,8286
45,957.9361543380942,9382,8507
46,1006.8626290877797,9296,8371
47,994.9889757037354,9343,8462
48,994.1465655378698,9361,8427
49,953.5104616048318,9272,8403
50,954.7220787604906,9294,8526
51,930.3303069606571,9252,8415
52,927.884339157466,9329,8468
53,934.2075552693711,9318,8358
54,935.531627806563,9264,8471
55,916.7718709398008,9236,8454
56,916.1227366366692,9223,8419
57,990.3660377358491,9275,8328
58,947.9506920415225,9248,8310
59,924.3820212535242,9222,8283
60,913.4455124743492,9259,8455
61,880.2569354139575,9228,8471
62,923.510462495976,9319,8377
63,919.131872898818,9221,8505
64,960.5427336574825,9255,8562
65,932.4571242962321,9236,8489
66,972.6475619238032,9003,7935
67,924.4860196480622,9263,8533
68,920.9413158178098,9287,8584
69,977.5051488694874,8934,7868
70,1090.9118013830632,8821,7763
71,1098.8633873544852,8762,7650
72,1003.9833682123582,9079,8029
73,952.29166201585,8959,8039
74,957.2663854639844,9246,8435
75,990.7329254727475,8990,8004
76,936.7190839694656,9170,8466
77,948.7299564270153,9180,8414
78,953.9621721222632,9226,8377
79,925.8988690735102,9196,8447
