,duration,vehicle_in,vehicle_out
0,2294.58938547486,5370,2920
1,2344.4747491923144,5881,3447
2,2184.7585644371943,8582,6190
3,2068.055060728745,9880,7469
4,1767.66647303708,10329,7973
5,1701.573980719908,11307,8932
6,2306.651552594821,9307,6814
7,1989.4836285560923,9315,6982
8,2133.1316656497866,8195,5897
9,1980.784684333593,10264,7979
10,1914.4636068613815,10785,8525
11,1864.360113960114,8775,6417
12,1771.1764169232524,8769,6380
13,1956.9886698599853,10856,8580
14,1736.873014689434,13411,11055
15,1714.8666414809218,13235,10885
16,1568.0228622997668,13297,10872
17,1760.861196521128,11383,9010
18,1697.768198757764,12075,9730
19,1952.1948004056421,10847,8509
20,1745.6295055243615,11042,8592
21,1860.3267934312878,11570,9237
22,1890.1330914083956,10196,7797
23,2291.9129396984927,7960,5581
24,2123.617631509384,7566,5199
25,2078.581508515815,8220,5894
26,2134.367658276125,10488,8220
27,1757.046839881327,11123,8767
28,1802.4726959361394,11024,8539
29,1677.6983729662077,11985,9559
30,1511.1955517931353,12994,10708
31,1661.213728549142,12179,9871
32,1579.3701059419623,13026,10722
33,1473.1516278363815,13177,10909
34,1784.7406488059573,11683,9299
35,1954.2231807951987,7998,5642
36,1873.4890954594207,8391,6059
37,2184.621986664387,5849,3495
38,1880.026946879835,7756,5493
39,1489.16000336672,11881,9539
40,1723.635121316352,10757,8378
41,2098.1887442998554,8991,6530
42,2039.648189813868,9778,7295
43,1920.9445019283228,10631,8169
44,2196.9969887076536,7970,5501
45,2035.3922636103152,6980,4531
46,1786.4519943375801,12009,9566
47,1676.191485649481,11463,9026
48,1824.3362129760226,11344,8938
49,1785.5672234165702,12094,9762
50,1690.2870438403136,12249,9847
51,1970.7280076495133,11504,9099
52,1759.7616123172736,11561,9109
53,1516.2184726048363,13068,10590
54,1574.2513669862906,12619,10132
55,1647.7504240162823,11792,9309
56,1838.472295081967,12200,9829
57,1859.478366798286,11903,9540
58,2288.9095086989823,9139,6763
59,2067.0127388535034,9891,7618
60,2164.9699624530663,9588,7162
61,2184.2325267304445,8885,6472
62,2100.769776977698,9999,7610
63,1940.4496500233317,10715,8379
64,1595.5788260475838,12147,9770
65,1659.4009653199857,11188,8751
66,1700.2311570456263,11901,9523
67,1602.6846012612757,12527,10198
68,1531.3622947097556,13213,10866
69,1551.297907750832,12618,10202
70,1709.7352965712855,11987,9585
71,1795.6143760887503,10907,8530
72,1881.132289518095,10666,8316
73,1697.4272719244016,11323,8968
74,1750.7891235955055,11125,8720
75,1792.5357345971563,10550,8180
76,1858.1121617543506,9941,7604
77,2008.3620689655172,10150,7754
78,1831.512567245789,11339,8997
79,1856.9193763919823,11225,8886
