,duration,vehicle_in,vehicle_out
0,1459.5530039434007,8622,6122
1,1538.5444790584977,8667,6164
2,1643.5352054511666,9686,7324
3,1839.1187323637942,9214,6918
4,1857.8075424117378,8724,6407
5,2173.806402823292,7934,5564
6,1919.844448482646,11006,8667
7,2173.5554726633272,9383,6930
8,2107.982382987595,9593,7223
9,2331.1589272175893,10552,8098
10,1997.9997443762782,11736,9332
11,1823.3033956911074,11279,8808
12,1876.0738225820492,11487,9210
13,2072.9914200327776,10373,8036
14,2063.9693992139246,10686,8282
15,1998.0296602387511,10890,8434
16,2156.9232983563934,10769,8354
17,2281.2270199211243,9889,7504
18,2128.1485940084544,10882,8528
19,1935.4255337690631,11475,9178
20,1998.1982891195694,10404,8040
21,1793.2779984785732,11831,9440
22,2005.31686611435,9777,7411
23,1953.477275157737,9351,7004
24,2049.4118135575627,9633,7263
25,1989.2426671364396,11353,8980
26,1789.4215469123772,11287,8997
27,1664.0069450473131,11519,9136
28,1806.7747627915226,11277,8997
29,1622.2334988785647,12484,10269
30,2016.8020973379942,11157,8749
31,1934.9531383615529,11694,9275
32,1854.3742647058823,12240,9860
33,1858.6589660743134,12380,9973
34,1900.9964333481944,11215,8745
35,1935.709814563546,11055,8563
36,1809.1585144927535,11040,8563
37,1783.7417180435675,12165,9762
38,1839.2876346402413,11605,9189
39,1841.4591836734694,11858,9382
40,1813.0717387673292,11974,9498
41,1860.8184380699718,12062,9637
42,2001.042638850764,10929,8638
43,1979.239215303533,10246,7886
44,1840.8286662694697,11749,9376
45,1775.507952123299,12198,9785
46,1720.1762518968133,13180,10810
47,1705.320665484334,11841,9443
48,1790.6251535249326,12213,9888
49,1765.9486542774753,12484,10117
50,1719.9677107657621,12419,10026
51,1625.600933908046,13920,11620
52,1628.9106919165868,13571,11246
53,1685.6908715280435,13069,10640
54,1603.4798176110032,13378,10950
55,1634.1246856973821,13522,11101
56,1600.4929072828313,13676,11318
57,1680.5041342025759,12578,10227
58,1992.6049541103325,10133,7766
59,1912.0873594782458,11653,9336
60,1772.9631210242371,12419,10086
61,1802.749307704838,12278,9957
62,2075.142643923241,9380,7006
63,1971.8124557678698,8478,6103
64,2032.8218376797465,8206,5867
65,1888.0704392896594,11769,9474
66,1700.579533366428,14101,11698
67,1665.294889293297,13188,10818
68,1639.4405125530805,13423,11028
69,1843.080751030377,13102,10820
70,1697.5299607436486,13501,11163
71,1721.8820304062474,12037,9618
72,1668.5695601540804,11163,8732
73,1615.0907778532608,11776,9338
74,1740.719538188277,11260,8835
75,1749.5520679468243,10832,8389
76,1684.3013612753,11166,8736
77,1651.528825124661,11431,9007
78,1589.0031430934657,12090,9685
79,1516.891380169407,12042,9645
