,duration,vehicle_in,vehicle_out
0,991.7284513805522,4165,2850
1,936.8496089385475,4475,3249
2,942.1771527263755,4053,2795
3,768.0644251116859,4253,3061
4,629.1337659619007,4777,3687
5,528.5595403209827,5047,4016
6,535.6775615130371,5446,4341
7,478.3685480876346,5386,4504
8,455.9,5290,4463
9,413.90157027958634,5222,4403
10,425.6453608247423,5335,4492
11,469.8061941858256,5263,4266
12,403.4318140548393,5507,4715
13,374.98384369716325,5323,4612
14,400.3149536045682,5604,4855
15,386.9452249688778,5623,4917
16,371.13665142455153,5686,5003
17,366.71742184755885,5694,5042
18,335.71840083798884,5728,5072
19,349.71049393566534,5689,5068
20,344.62887139107613,5715,5047
21,335.79896907216494,5820,5151
22,354.4820415879017,5819,5143
23,340.0322977005441,5697,5035
24,343.3960378681627,5704,5030
25,338.55531492510374,5541,4899
26,337.15181107954544,5632,4927
27,336.7662453266868,5617,4976
28,324.20572037662106,5629,4976
29,317.64993943588854,5779,5139
30,318.29410748228787,5787,5148
31,319.31850564726324,5755,5136
32,320.6019031141868,5780,5120
33,317.1502652746877,5843,5190
34,318.51851851851853,5832,5173
35,321.59363714531383,5815,5196
36,318.43747835122963,5774,5113
37,319.18486096807413,5826,5131
38,318.8731783483692,5764,5130
39,322.5406342055103,5771,5119
40,318.76674765706355,5762,5082
41,315.3052776819593,5798,5166
42,316.24399450926563,5828,5200
43,320.1156049296997,5761,5165
44,324.83267411865864,5815,5177
45,316.07719958918176,5842,5228
46,312.8811489508084,5814,5237
47,307.39365351629505,5830,5248
48,310.4155754651964,5804,5201
49,316.34262605403546,5811,5162
50,318.7440742013054,5822,5170
51,323.4727366255144,5832,5167
52,309.34237924560506,5859,5231
53,313.79841296640217,5923,5253
54,314.6876278118609,5868,5290
55,316.6586562870198,5909,5273
56,311.4323048389816,5931,5318
57,314.01271966527196,5975,5346
58,307.0581892863255,5843,5294
59,308.86238062755797,5864,5257
60,308.4327615780446,5830,5241
61,308.0501300954033,5765,5205
62,310.07804118359576,5779,5191
63,314.72000699545293,5718,5103
64,309.9823529411765,5780,5208
65,312.501569584932,5734,5117
66,307.53970180305134,5768,5207
67,312.55901778154106,5905,5310
68,314.6036842994761,5917,5326
69,322.3825,6000,5342
70,318.93672763222935,6069,5441
71,317.76090576090576,6006,5336
72,321.71263609369845,6062,5380
73,317.30901790195753,5977,5301
74,321.52274593529313,6089,5406
75,322.9991807307881,6103,5382
76,326.59993436166724,6094,5414
77,331.6950657894737,6080,5378
78,329.09396195202646,6045,5314
79,328.2619396903016,6135,5479
