,duration,vehicle_in,vehicle_out
0,1151.1665781366196,9413,7019
1,1721.3848641655886,7730,5237
2,1675.3263038262407,7919,5388
3,1517.3712837059231,8678,6502
4,1556.4860688648255,8219,6194
5,1310.075669994745,9515,7553
6,1395.7000852722622,8209,6398
7,1407.2652835747606,8146,6321
8,1334.7822041984732,8384,6496
9,1288.7305591072882,8603,6716
10,1247.8896606695514,8782,6947
11,1190.6811069717935,9395,7534
12,1207.6688351290913,9838,8102
13,1190.667927156931,10049,8136
14,1166.5185755534167,10390,8491
15,1210.0172605228627,9907,8052
16,1185.6781733898806,10139,8218
17,1203.6572144288577,9980,8156
18,1157.86772591857,10070,8262
19,1215.5476549161394,9957,8165
20,1206.8388503468782,10090,8163
21,1194.321869488536,10206,8421
22,1212.5970844300466,9878,8024
23,1160.9986449864498,10332,8653
24,1217.9089810712846,9932,8224
25,1176.061121049493,10062,8359
26,1395.6317673378076,8940,6788
27,1208.1278789630915,10377,8609
28,1162.3409769727334,10379,8750
29,1173.9979069546189,10511,8569
30,1157.7935418953532,10932,9211
31,1152.6208695652174,10925,9160
32,1147.9715279685067,10923,9228
33,1143.6325160809174,10727,9000
34,1138.4942572020336,10622,8913
35,1148.1569930724584,10682,8896
36,1163.5716281669152,10736,9064
37,1164.2618827445904,10814,8970
38,1101.0742103374014,11144,9378
39,1103.8065076318435,10941,9114
40,1100.6174087225713,10983,9318
41,1091.673344868409,10981,9324
42,1108.0762521355994,11121,9115
43,1155.0081137751847,10969,9108
44,1135.1529796511627,11008,9270
45,1148.4629543118751,10703,8845
46,1111.0855678594307,10927,9167
47,1101.2299111191728,11026,9341
48,1106.3121799561084,10936,9261
49,1098.7734624955563,11252,9628
50,1121.9286101572384,11066,9242
51,1094.4227642276423,11193,9510
52,1088.2209731248902,11386,9663
53,1094.2990805840996,11094,9232
54,1112.1640702386312,11105,9420
55,1116.835682023487,11070,9251
56,1121.5915888697543,11033,9142
57,1099.5190276766205,10984,9127
58,1133.3765671091446,10848,8995
59,1121.8832801822323,10975,8960
60,1127.7105886641152,10974,9068
61,1183.3583595013797,10509,8287
62,1135.2803016536434,11006,8803
63,1136.9072649959287,11053,8978
64,1126.4224352147676,11268,9082
65,1149.6696880831778,11253,9033
66,1154.331544104491,11178,8766
67,1132.9538447669702,11093,8824
68,1122.1603808128891,10924,8794
69,1159.7107706592387,10770,8534
70,1138.3181602655286,10545,8543
71,1108.9734357645316,10804,8924
72,1101.7753955622134,10681,8880
73,1087.9965796579659,11110,9085
74,1093.8833378341885,11109,9136
75,1122.5784404519356,10798,8635
76,1119.8688181818181,11000,8757
77,1083.6672313865358,11215,9132
78,1110.5887430318287,11122,9065
79,1143.1037630402384,10736,8559
