,duration,vehicle_in,vehicle_out
0,2081.8183930300097,5165,2194
1,2059.9220149253733,5360,2487
2,2108.877281191806,5370,2455
3,2050.4089979550104,5868,3218
4,1983.3746322327559,6118,3444
5,1972.1881393861893,6256,3513
6,1813.2747440273038,7618,5068
7,1771.0060301507538,7960,5568
8,1682.6699784534355,8354,6325
9,1565.471323443523,8561,6749
10,1405.1309257602861,8944,7394
11,1396.8308167467399,8742,7205
12,1360.2462207970682,8732,7176
13,1247.310960165784,8686,7327
14,1214.0263819095478,8756,7470
15,1168.0448710666817,8803,7510
16,1250.8799089356858,8785,7496
17,1210.7733212134985,8801,7687
18,1215.2384075480381,8691,7465
19,1202.803280568938,8718,7496
20,1110.9308938484196,8827,7725
21,1110.4004537719795,8815,7771
22,1103.4262405761224,8887,7881
23,1096.6794130724766,8996,7959
24,1129.9962247390629,9006,7977
25,1199.1655195757644,8863,7820
26,1220.0955314144921,8929,7854
27,1209.305422558735,8981,7875
28,1169.3914276366015,9169,7998
29,1229.5127305646713,8837,7624
30,1132.3991199119912,9090,7966
31,1148.3485146352118,9156,8028
32,1192.9437045327363,8935,7782
33,1213.9385366962053,8802,7624
34,1186.540271793172,9051,7831
35,1202.9371862099742,8963,7763
36,1231.102139965298,8645,7429
37,1214.0670808882753,8691,7513
38,1139.7077545663349,9143,7921
39,1218.347228691197,8588,7388
40,1180.7078079814921,8645,7473
41,1126.469577907499,8908,7849
42,1162.5200275450477,8713,7615
43,1143.43445019114,8894,7823
44,1182.1376878612716,8650,7545
45,1046.7513727212827,9106,8056
46,983.0717713787086,9168,8307
47,1009.0163309744148,9185,8237
48,1085.1400864457498,9023,8013
49,1133.603743797925,8868,7721
50,1078.282943588607,9023,8029
51,1126.242789842583,8703,7669
52,1070.6546449307727,8956,7890
53,1059.4137931034484,8990,7930
54,1045.6078410078194,9208,8278
55,1121.8162427284133,8767,7794
56,1124.572106154715,8855,7820
57,1187.054023379866,8811,7737
58,1162.2045865341165,8852,7770
59,1215.4646797861449,8791,7714
60,1150.2606353742992,9097,7935
61,1149.6389681668495,9110,7961
62,1158.5493840739111,9092,7908
63,1110.8351958337853,9217,8107
64,1098.4772578176253,9146,8187
65,1067.7734332573043,9207,8197
66,1057.3827787381158,9256,8291
67,1054.5924407005098,9022,8084
68,976.5241074317765,9271,8477
69,1089.8974042027194,8899,7823
70,953.8851248642779,9210,8504
71,978.6263039036455,9299,8344
72,1016.4099191374663,9275,8384
73,964.4893201778164,9223,8438
74,989.2979961215256,9282,8353
75,939.1709933490667,9322,8629
76,938.6310295571915,9101,8453
77,926.4105263157895,9120,8428
78,966.3442289143715,9331,8597
79,996.9892615963689,9033,8220
