,duration,vehicle_in,vehicle_out
0,1660.503676012461,16050,10941
1,1730.3460494072456,15099,9924
2,1873.0773009680681,13842,8639
3,2028.2993554547625,12567,7576
4,1946.9041738530527,14495,9429
5,1970.9139680692908,15471,10417
6,1930.226150627615,14340,9586
7,1729.8167154427279,14693,10312
8,2039.920546200651,14134,9784
9,1891.3016452288364,16715,11943
10,2020.4372769332451,15130,10239
11,1816.0998697608336,16892,12531
12,1770.147670737223,17688,13170
13,1595.264183026743,19407,15039
14,1602.8150588471985,19882,15445
15,1578.3808729075001,19773,15374
16,1600.7298723489798,19898,15524
17,1670.5520569865275,19373,14676
18,1810.3747176913425,15940,11363
19,1713.8897545357524,18740,13652
20,1371.4177305981925,20913,16645
21,1625.6682873813065,17482,12841
22,1497.4475313627308,18573,13669
23,1427.145724567895,19729,15009
24,1603.688016067842,17924,13058
25,1739.5933292362702,17899,12830
26,1593.303444475062,18145,13021
27,1527.1033108182926,18062,13200
28,1602.6240824886404,17166,12733
29,1696.9388869320182,17034,12598
30,1996.7713767830405,12689,8108
31,1883.4126972029571,13121,8706
32,1732.637218597543,17013,12186
33,1925.0070146084047,15539,10646
34,1924.3794473382184,11327,6408
35,1633.9647282542019,16302,11567
36,1544.8995458550803,14753,9925
37,1525.9229687330953,18486,13853
38,1633.3089786467713,15548,10883
39,1851.5023775864286,15562,10774
40,1708.3106536955747,16858,12221
41,1556.4076880530974,18080,13594
42,1529.8330111291082,19139,14228
43,1562.4987558152116,18486,13416
44,1511.3863932801169,19167,14432
45,1860.3232575112518,16442,11770
46,1775.05513858519,16921,11988
47,1562.3791700103175,17446,12642
48,1444.5126050420167,19278,14179
49,1529.145864167078,18243,13043
50,1517.2289827152565,18687,13518
51,1518.7588247508306,19264,14123
52,1489.3335981357907,18882,14214
53,1512.2348910657888,18681,13739
54,1578.2775730082224,17635,12741
55,1700.8699914748508,16422,11497
56,1658.4206540245407,17033,12047
57,1710.207718570906,16402,11492
58,1965.7166748303127,14291,9300
59,2078.3882861750476,13642,8765
60,1957.484453099643,15405,10562
61,1716.8842304571274,14788,9745
62,1876.6104667030568,14656,9676
63,1990.28760768721,13581,8563
64,2145.0823120238488,12076,7320
65,2091.960986581866,12893,7963
66,2076.5685938837446,12851,7994
67,1834.7309405940593,16160,11608
68,1603.7528431843664,18729,14100
69,1913.4128092968597,15317,10606
70,1851.7854986794114,15902,11337
71,1836.7640382317802,16740,11790
72,1982.6243582815455,14804,9818
73,1903.072730620512,16293,11400
74,2061.285098602586,15314,10492
75,1983.5407543698252,16305,11239
76,1901.8631968485138,16754,11721
77,1540.1536359815047,19032,13951
78,1584.335966493479,18862,13668
79,1540.076134619601,18244,13145
