,duration,vehicle_in,vehicle_out
0,1483.9259046524985,3482,2402
1,1445.8121562952242,3455,2325
2,1503.3954703832753,3444,2158
3,1476.1069994262766,3486,2286
4,1459.3513203214695,3484,2327
5,1485.012794995735,3517,2318
6,1476.9449594438006,3452,2205
7,1060.9101311084626,4195,3445
8,899.9092531226103,3923,3547
9,766.2785093167702,4025,3691
10,750.6955693187232,4198,3728
11,576.6828358208955,4288,4080
12,549.3688177107866,4246,4045
13,573.2467375543741,4138,3899
14,454.1555656934307,4384,4248
15,501.91421800947865,4220,4009
16,474.9831657703998,4277,4079
17,382.15944343065695,4384,4274
18,439.3120728929385,4390,4279
19,356.80442720219077,4382,4316
20,434.422024623803,4386,4221
21,414.30365296803654,4380,4205
22,401.87214611872145,4380,4242
23,386.36533637400225,4385,4279
24,405.21011850501367,4388,4288
25,322.80925250683686,4388,4321
26,293.36989737742306,4385,4318
27,337.68453467153284,4384,4297
28,368.08709530323756,4386,4300
29,333.0214269432414,4387,4313
30,294.3449532923217,4389,4326
31,323.2954182812856,4387,4319
32,310.18098928652836,4387,4317
33,367.91503416856494,4390,4299
34,325.59913498748006,4393,4313
35,349.19762935947114,4387,4265
36,308.0280437756498,4386,4301
37,302.40141487905066,4382,4306
38,290.4711779448622,4389,4316
39,280.9988592288387,4383,4316
40,294.8684150513113,4385,4312
41,283.0603507173765,4391,4316
42,287.1435090120922,4383,4313
43,292.7912012764987,4387,4301
44,298.7576379388965,4386,4308
45,287.03853169174647,4386,4314
46,292.2729138166895,4386,4313
47,287.50125256205877,4391,4323
48,272.9450774840474,4388,4326
49,262.0499885870806,4381,4324
50,260.39489284085727,4386,4321
51,259.6283953435289,4381,4327
52,260.6527492584988,4383,4319
53,263.8647045402692,4383,4321
54,262.0734489051095,4384,4326
55,259.8675934366454,4388,4329
56,260.7637813211845,4390,4330
57,255.03101482326113,4385,4330
58,250.9821999087175,4382,4330
59,248.5180036463081,4388,4333
60,248.5807481751825,4384,4332
61,243.48504907555352,4381,4329
62,241.3077273763392,4387,4330
63,241.8799086757991,4380,4327
64,240.28512679917753,4377,4325
65,239.06201550387595,4386,4327
66,237.97214611872147,4380,4329
67,239.1524960109414,4387,4338
68,237.52304883614786,4382,4332
69,238.6900478250968,4391,4341
70,238.7385247773464,4379,4327
71,240.19516643866848,4386,4338
72,240.30337591240877,4384,4335
73,237.89187956204378,4384,4333
74,237.85704514363886,4386,4331
75,236.22657852746752,4387,4331
76,235.93814197671765,4381,4330
77,236.74680656934308,4384,4329
78,236.38431730111694,4387,4339
79,235.96169630642956,4386,4335
