,duration,vehicle_in,vehicle_out
0,1890.7952899824254,14225,8883
1,2228.48228561811,11883,6489
2,2019.470435757321,14274,9183
3,1922.7378114069527,14009,8924
4,1968.9937754723971,13495,8423
5,2016.4826551522249,13664,8622
6,2001.1087655810213,14922,10218
7,1932.1772344333945,15787,10952
8,1778.436233685519,16090,11478
9,1781.4477536277802,15781,11564
10,1636.0149770872918,17894,13491
11,1760.3856048821347,16714,12154
12,1750.1931729557862,16669,12029
13,1660.8916041893206,17473,12943
14,1660.017430845017,18473,13861
15,1601.6106194690265,17741,13602
16,1654.3423866915634,17673,13093
17,1522.645890286131,16461,12103
18,1589.7797448979593,19600,15227
19,1642.20246215272,18033,13853
20,2004.9851125021146,11822,7091
21,1781.7465483814112,17021,12901
22,1537.885467499512,20492,16148
23,1724.0957030202242,18641,14008
24,1586.3589589041096,18250,13497
25,1478.4775242385663,20422,15629
26,1501.0438056799724,20317,15796
27,1638.2398650548214,17785,13225
28,1587.644997434582,19490,15063
29,1676.5797757773237,18107,13742
30,1760.2492876548936,15091,10679
31,1893.5956458434446,14423,10234
32,1596.5884080098656,17029,12716
33,1625.2974441425959,18037,13304
34,1573.6516139822713,17937,12980
35,1574.8320989029348,17957,13155
36,1487.2674472584722,19387,14911
37,1525.8417802385009,18784,13987
38,1492.6950892396576,19386,14772
39,1632.556292855563,18084,13366
40,1553.9988580919755,19266,14548
41,1551.9502068002364,18617,13825
42,1609.5233014539224,18089,13661
43,1525.085761030188,18948,14427
44,1519.6306248323947,18645,13897
45,1480.4555743917033,20056,15591
46,1523.990224325993,19436,14682
47,1478.4015728184706,19837,15099
48,1654.2445075647788,17251,12184
49,1599.2375748256356,18209,13108
50,1633.6103991006182,17790,12654
51,1545.878201358071,18703,13855
52,1526.5912783023657,19698,15201
53,1599.298628496789,18374,13499
54,1504.9112270192109,19364,14757
55,1573.2795435569162,17965,13358
56,1636.8936635883201,18733,14112
57,1656.9041616987452,17613,13237
58,1732.9466070183594,17212,12493
59,1827.367709213863,16562,11931
60,1824.2600125692738,17503,12800
61,1598.5728328382393,18515,13730
62,1640.7010853959684,17413,12412
63,1678.6366387751468,16851,11985
64,1860.8335774791415,15701,10728
65,1956.0712254480525,15121,10605
66,1862.31575594564,14128,9432
67,1781.8271021637906,14604,9853
68,1760.2088784177568,16129,11481
69,1607.5428708542177,18754,13995
70,1623.9931130211949,18731,14286
71,1615.7736662374741,17863,13145
72,1866.3234421364984,15165,10789
73,1599.7790219847955,19468,15055
74,1634.8487482433768,19213,14612
75,1419.7693846446941,20996,16340
76,1546.3267350488873,16671,12033
77,1527.8648441352107,18253,13912
78,1678.5611649385235,17649,13273
79,1976.8713450292398,12654,8048
