,duration,vehicle_in,vehicle_out
0,1071.079945336522,2927,2281
1,989.2655462184874,2975,2420
2,858.6593112671347,2991,2570
3,706.2021383227531,2993,2666
4,658.2359025692359,2997,2719
5,705.3025210084033,2737,2302
6,612.8463349024883,2974,2650
7,519.7027388109552,2994,2696
8,529.0090270812437,2991,2638
9,396.2124703490342,2951,2779
10,381.43894165535954,2948,2804
11,307.70030070163716,2993,2933
12,306.5510340226818,2998,2942
13,307.44485294117646,2992,2930
14,301.57557557557556,2997,2941
15,293.68917112299465,2992,2938
16,293.27363848980957,2993,2932
17,292.7973244147157,2990,2933
18,290.9261363636364,2992,2936
19,283.99266911029656,3001,2948
20,282.86539746158985,2994,2938
21,278.0967311541027,2998,2940
22,278.98161764705884,2992,2938
23,278.4944944944945,2997,2941
24,279.2130928523714,2994,2940
25,279.4634878292764,2999,2947
26,280.7872909698997,2990,2936
27,277.5413609072715,2998,2944
28,275.979605483116,2991,2939
29,273.54624373956597,2995,2942
30,273.4989973262032,2992,2939
31,276.17106582024724,2993,2941
32,273.1660541262947,2993,2940
33,272.0921535893155,2995,2941
34,272.66744496330887,2998,2942
35,275.38204871538204,2997,2942
36,272.8681833389093,2989,2936
37,272.77666332330324,2991,2938
38,270.98765843895933,2998,2946
39,271.1482470784641,2995,2942
40,272.1227014376463,2991,2940
41,272.25133511348463,2996,2945
42,272.5625418060201,2990,2938
43,271.2111073937772,2989,2936
44,273.33645172068157,2993,2940
45,271.50685389501837,2991,2938
46,271.6394648829431,2990,2936
47,272.01237044466734,2991,2940
48,272.09816360601,2995,2940
49,270.991652754591,2995,2941
50,272.22159090909093,2992,2940
51,271.0627712854758,2995,2939
52,271.0153743315508,2992,2940
53,271.29441284710606,2989,2936
54,270.4457066488473,2993,2940
55,270.8111631016043,2992,2939
56,270.6791318864775,2995,2942
57,271.83672787979964,2995,2943
58,271.15106951871655,2992,2939
59,272.2913464751086,2993,2940
60,270.5887069829602,2993,2941
61,272.3903743315508,2992,2939
62,271.5687583444593,2996,2944
63,271.68259271633815,2993,2942
64,272.07049782826596,2993,2940
65,270.98161764705884,2992,2939
66,271.34659090909093,2992,2939
67,270.4903397734843,3002,2948
68,270.71576486305946,2994,2941
69,270.314295257181,2994,2941
70,270.81314647981316,2997,2943
71,269.1244577911245,2997,2943
72,269.5482470784641,2995,2941
73,270.3370073480294,2994,2941
74,271.6531772575251,2990,2937
75,270.10257266956233,2993,2939
76,270.66889408620113,2993,2940
77,270.39178356713427,2994,2941
78,269.8732017397123,2989,2934
79,270.97059806214503,2993,2939
