,duration,vehicle_in,vehicle_out
0,1131.6029751218261,3899,3040
1,1000.963109680614,4039,3152
2,736.3126303592121,4315,3680
3,1003.6452848252752,4178,3374
4,600.4911105980143,4331,3780
5,722.1053473491774,4376,3803
6,511.78995433789953,4380,4196
7,374.3983572895277,4383,4309
8,317.1610034207526,4385,4313
9,261.91886964448497,4388,4337
10,266.68437856328393,4385,4327
11,258.21363429092565,4386,4335
12,283.99703804966964,4389,4326
13,304.3456536618754,4383,4315
14,293.95422455021634,4391,4313
15,286.50364797081625,4386,4321
16,271.45237010027347,4388,4335
17,286.117700729927,4384,4323
18,299.77881548974943,4390,4302
19,245.42879927090453,4389,4335
20,244.95255474452554,4384,4331
21,242.30296803652968,4380,4326
22,241.9108323831243,4385,4326
23,244.18795620437956,4384,4326
24,242.7356767861219,4381,4325
25,238.50057038558066,4383,4334
26,235.52567906870578,4381,4329
27,236.74977210574295,4388,4334
28,236.15,4380,4330
29,235.21497033318118,4382,4333
30,233.8609211126311,4386,4336
31,235.15909609678155,4381,4329
32,235.62240474560804,4383,4333
33,234.22582116788323,4384,4332
34,235.39703534777652,4385,4334
35,233.97581565138034,4383,4330
36,234.8969448244414,4386,4339
37,235.79712460063897,4382,4334
38,233.74937286202965,4385,4335
39,234.88992707383773,4388,4339
40,233.5711030082042,4388,4336
41,233.23751994529292,4387,4335
42,233.8358038768529,4385,4337
43,233.7310234784591,4387,4338
44,232.89872262773721,4384,4334
45,232.93865450399088,4385,4336
46,232.81117445838083,4385,4337
47,233.1959844855122,4383,4336
48,232.68918302145138,4382,4336
49,232.19667274384685,4388,4340
50,234.19181527206217,4374,4327
51,234.81994523048837,4382,4333
52,233.50387596899225,4386,4337
53,232.6331279945243,4383,4337
54,232.783154530929,4381,4331
55,232.5237118103055,4386,4337
56,232.42080109239873,4394,4346
57,233.20041039671682,4386,4339
58,232.01665145985402,4384,4336
59,233.10015970796258,4383,4336
60,232.40446876424988,4386,4340
61,232.81463748290014,4386,4334
62,232.92270861833106,4386,4337
63,232.26636259977195,4385,4339
64,232.0186745616033,4391,4345
65,232.57664233576642,4384,4333
66,233.02346241457857,4390,4342
67,232.57348242811503,4382,4337
68,232.56693272519954,4385,4341
69,233.73854570321404,4387,4339
70,232.21117445838084,4385,4333
71,232.8017791970803,4384,4334
72,232.2916190911167,4379,4329
73,232.5897786903947,4383,4334
74,231.76082991336068,4386,4338
75,232.78749144031042,4381,4333
76,232.45197353410904,4383,4334
77,232.10763968072976,4385,4333
78,232.59671907040328,4389,4342
79,231.89626082991336,4386,4337
