,duration,vehicle_in,vehicle_out
0,2401.6623975409834,5856,2311
1,2211.8648869517842,7342,4143
2,1970.4590129209914,9442,6976
3,1792.987593540764,10156,8138
4,1760.9104801340827,10143,7842
5,1660.4786358290867,10204,8382
6,1580.3458260701143,10326,8390
7,1611.1966853035144,10016,8152
8,1515.0748358439553,10356,8567
9,1573.2717423421648,10153,8124
10,1487.6589682915287,10565,8729
11,1437.0420434417824,10727,8969
12,1509.8730296039985,10404,8605
13,1329.8091990045166,10849,9066
14,1398.890330953926,10787,9052
15,1259.0918914010715,11013,9478
16,1451.4622685400577,10747,8950
17,1404.0065813867259,10788,9111
18,1430.3894332020877,10921,9158
19,1401.9821071752951,11010,9214
20,1326.8655492475443,11097,9416
21,1375.3429793429793,10989,9211
22,1389.7408958485069,10984,9217
23,1373.8984826589594,11072,9370
24,1376.0505938888384,11029,9292
25,1441.2111194590534,10648,8851
26,1396.5251086654953,10813,9095
27,1393.9548892490545,11106,9388
28,1378.9708473344838,11011,9340
29,1348.7539546235198,11063,9382
30,1338.6994630017293,10987,9311
31,1376.992691509519,11083,9332
32,1291.6668444918646,11247,9552
33,1299.8446749530538,11183,9431
34,1281.0510955380112,11273,9516
35,1299.9922738298446,11131,9497
36,1333.4568403908795,11052,9301
37,1313.929739442947,11130,9396
38,1272.026007229128,11343,9631
39,1306.6330609344466,11258,9570
40,1259.8488700564972,11328,9593
41,1327.97384341637,11240,9526
42,1252.4062773978608,11406,9748
43,1340.9016393442623,11102,9367
44,1226.954588868629,11517,9926
45,1267.9490647229297,11387,9707
46,1289.5895045285029,11262,9569
47,1305.7358340688438,11330,9683
48,1288.9891738397373,11269,9661
49,1262.564448336252,11420,9719
50,1320.0114547537228,11349,9623
51,1247.7502641775272,11356,9698
52,1230.3581739130434,11500,9899
53,1188.9737254219592,11494,9881
54,1225.6239264335907,11527,9952
55,1187.587277846208,11366,9800
56,1165.6560453177553,11298,9787
57,1135.748774938747,11428,9894
58,1182.4842689697718,11347,9762
59,1161.4662221442359,11398,9959
60,1228.5500884955752,11300,9567
61,1216.640562248996,11454,9913
62,1193.1694458919576,11514,9937
63,1228.7917950523813,11359,9764
64,1185.0723341438,11516,9919
65,1260.3862475787992,11358,9689
66,1210.5781115138961,11586,10031
67,1235.1225455820477,11408,9751
68,1270.2103962580532,11331,9674
69,1267.9109033168666,11336,9701
70,1285.1577968653148,11293,9553
71,1290.1529319234467,11443,9706
72,1258.8213174504401,11249,9652
73,1266.1803610744166,11355,9694
74,1307.240775484678,11193,9470
75,1251.078488372093,11352,9753
76,1262.6132342533617,11304,9733
77,1249.710130834512,11312,9599
78,1255.287991498406,11292,9663
79,1265.0021320067513,11257,9643
