,duration,vehicle_in,vehicle_out
0,2066.391449,5122,2027
1,2227.448956,5123,1987
2,1986.036076,6514,3794
3,1602.178657,8340,6409
4,1458.92279,8315,6742
5,1380.009326,8471,6960
6,1341.257133,8797,7154
7,1267.434095,8535,7122
8,1403.334104,8219,6844
9,1249.024567,8548,7292
10,1078.278553,9097,7987
11,1058.715724,8840,7865
12,1027.785544,8799,7931
13,1023.947786,8829,8002
14,1036.823921,8871,8058
15,1145.2568,9007,7843
16,1139.651482,8737,7562
17,1042.148263,9065,7967
18,999.442585,9083,8170
19,1113.327117,8847,7787
20,1128.532952,8740,7635
21,1016.915487,9253,8339
22,1016.362412,9205,8328
23,994.393347,9259,8319
24,1018.951958,9242,8256
25,1098.553137,9052,7922
26,1059.0222,9099,8098
27,993.4367431,9248,8265
28,1037.274848,9045,8043
29,968.7546882,9172,8323
30,952.8378112,9119,8369
31,1015.445645,9162,8256
32,920.5528165,9249,8526
33,952.8576045,9284,8476
34,917.3055404,9187,8412
35,921.7436847,9184,8337
36,989.8028705,9197,8312
37,936.4598113,9219,8371
38,963.4847666,9256,8362
39,963.790102,9214,8370
40,1005.804599,9350,8355
41,1022.486287,9334,8371
42,1061.159397,8896,7935
43,1019.022089,9145,8268
44,980.9315486,9189,8383
45,954.7551087,9249,8349
46,998.6331788,9277,8296
47,958.1337937,9268,8439
48,965.2198028,9231,8326
49,955.4513236,9255,8504
50,955.7171251,9308,8522
51,987.7626879,9182,8298
52,960.8924384,9297,8482
53,995.8758498,8973,8107
54,920.2794054,9284,8523
55,930.1309331,9249,8545
56,940.0299168,9259,8478
57,945.6775832,9252,8399
58,970.2444469,9229,8396
59,1005.826468,9249,8292
60,943.3211648,9341,8548
61,943.6668472,9230,8354
62,946.0636782,9124,8400
63,958.5819118,9321,8464
64,960.2552342,9266,8424
65,922.3867014,9219,8469
66,988.0133016,9247,8332
67,904.1775417,9226,8464
68,898.2684753,9215,8493
69,895.5693016,9336,8465
70,864.604267,9140,8471
71,892.6824383,9236,8547
72,884.388724,9099,8447
73,883.3049946,9210,8542
74,881.0977812,9194,8464
75,884.7893652,9215,8529
76,851.0899804,9202,8561
77,864.7304772,9220,8531
78,890.0231446,9203,8535
79,927.8085015,9269,8501
