,duration,vehicle_in,vehicle_out
0,1100.8777142857143,3500,2153
1,1069.3810461192352,3556,2227
2,996.8947755702723,4077,2735
3,1004.6248093543467,3934,2648
4,796.35769471706,4789,3640
5,703.5129091278715,4919,3917
6,754.9909111061849,4511,3407
7,498.6705267090026,5354,4536
8,411.35026509321017,5847,5104
9,385.4426842292631,5618,4910
10,369.9911231884058,5520,4758
11,377.5440156500089,5623,4881
12,365.97355462338135,5483,4796
13,363.86406336341867,5429,4669
14,351.6731589686515,5391,4651
15,389.191473448018,5348,4580
16,360.27733872449915,5441,4760
17,374.69444444444446,5508,4813
18,364.2546132339236,5365,4724
19,343.69705723054705,5539,4866
20,327.1667551779076,5649,5035
21,318.8136908962597,5668,5085
22,315.09251253674563,5783,5177
23,329.0759339704605,5755,5071
24,308.9008591065292,5820,5261
25,317.98724797518526,5803,5146
26,313.5350218340611,5725,5129
27,309.54342035162495,5631,5043
28,307.73909234273697,5707,5114
29,316.72496963387124,5763,5123
30,314.98975872244404,5761,5082
31,311.5742766407904,5668,5040
32,319.93145807370485,5617,5038
33,319.7190305206463,5570,4998
34,318.59369587807413,5774,5099
35,308.83710647329326,5654,5059
36,312.5885675166866,5843,5192
37,310.16829143150335,5847,5215
38,313.15091154625253,5924,5267
39,315.40314136125653,5921,5268
40,323.29980308500166,6094,5409
41,326.9282321004411,5894,5155
42,309.2311497782327,5862,5262
43,312.4520244981286,5878,5223
44,314.9706634828586,5863,5236
45,316.3232700135685,5896,5211
46,320.107277720563,5826,5132
47,317.23770351328193,5835,5151
48,313.2999829845159,5877,5204
49,312.83475588938205,5858,5192
50,312.9261083743842,5887,5213
51,310.5236811056801,5933,5272
52,311.69004676018704,5988,5291
53,314.61233037359693,5969,5282
54,310.4874533740251,5898,5220
55,312.3589656345696,5878,5218
56,311.7213364993216,5896,5228
57,312.19640154699846,5947,5307
58,311.5210747271201,5955,5321
59,313.5100967249279,5893,5240
60,309.59714916002036,5893,5261
61,308.825458871516,5884,5273
62,316.5499914251415,5831,5195
63,320.60747017119144,5783,5138
64,315.01179890560877,5848,5204
65,319.0029269972452,5808,5140
66,308.42736912977614,5941,5343
67,307.2545883145311,5939,5343
68,312.91132587317736,5898,5319
69,314.8885328836425,5930,5353
70,316.68918689526396,5891,5284
71,311.4415915660602,5881,5325
72,315.66766070245194,6036,5394
73,319.5190516511431,5905,5302
74,320.4094827586207,6032,5413
75,322.00265824887856,6019,5354
76,326.47103148024115,5972,5289
77,333.76672297297296,5920,5177
78,328.5971683802461,5933,5211
79,322.6703185572223,5933,5285
