,duration,vehicle_in,vehicle_out
0,2271.4594488958373,5117,1914
1,2135.248773651016,5708,2698
2,1790.587788294894,7501,5111
3,1575.3942842363895,7733,6117
4,1519.2383590555335,7581,6209
5,1461.4080425069435,8281,6942
6,1567.8302541847488,8065,6593
7,1377.1121639227763,8443,7112
8,1215.4467964037783,8787,7699
9,1025.7002628271055,8751,7801
10,1079.4200224971878,8890,7769
11,1039.8711802794503,8803,7893
12,1010.6641479643622,8867,8002
13,957.1860279895324,8789,8007
14,1076.8628884826326,8752,7763
15,1012.1188843164152,8748,7911
16,1001.5956254121785,9098,8156
17,966.7233530312978,9138,8321
18,1009.5849117869899,9239,8286
19,1091.8327342170298,8902,7841
20,1012.79710932406,9202,8219
21,1041.2615502518065,9134,8115
22,1054.8996886120997,8992,7954
23,1070.346187081443,9258,8260
24,1057.3590640717252,9146,8191
25,1053.3513271362974,8929,7977
26,1036.2513380432456,9342,8279
27,1050.0238429172512,9269,8244
28,1030.2320555977847,9209,8207
29,1027.5509284104326,9317,8287
30,1040.0269033874306,9181,8166
31,1032.5872161842246,9293,8351
32,1019.1729380053908,9275,8275
33,1033.99855907781,9022,8073
34,1036.4690532671987,9274,8298
35,1004.2256847099418,9274,8392
36,933.2616360313878,9303,8483
37,949.4743783783783,9250,8472
38,886.1869199222966,9266,8583
39,927.2669541778976,9275,8562
40,919.7454901108455,9202,8444
41,872.7988436784117,9167,8565
42,860.9300782949108,9196,8584
43,889.2077273713913,9214,8629
44,918.1086441043328,9278,8581
45,897.3846821436321,9218,8534
46,858.0923060156931,9176,8605
47,807.8500829187396,9045,8452
48,825.1447310887626,9148,8512
49,818.6812007011393,9128,8537
50,873.1178188899707,9243,8504
51,829.7824144693833,9178,8566
52,858.7896042273267,9273,8560
53,890.4160654678583,9287,8617
54,851.489835851723,9199,8575
55,879.1595721694036,9256,8599
56,900.0449208230098,9283,8599
57,893.0246395523994,9294,8659
58,942.3625067531065,9255,8425
59,947.3355617856373,9274,8470
60,922.7621002592913,9256,8596
61,917.8681449432125,9245,8537
62,904.5042400521853,9198,8519
63,1052.1684040838259,9305,8287
64,945.3204229150933,9269,8467
65,943.1763810352327,9196,8480
66,1033.7198430859758,9177,8255
67,1018.8757166035695,9245,8349
68,1071.0828200615927,9092,8183
69,1072.5104008667388,9230,8153
70,1049.639755548408,9327,8336
71,1119.4097650011408,8766,7687
72,980.9608980556451,9309,8379
73,998.345150862069,9280,8410
74,956.7930549545652,9244,8478
75,954.6136388082177,9297,8517
76,942.8546103123987,9251,8454
77,959.5920811306505,9269,8484
78,928.3000757493778,9241,8512
79,943.8981152396339,9285,8493
